mid,aid
4370,1319750
4370,14350
4370,1392116
4370,1378825
4370,34526
4370,1400852
4370,1341850
4370,1376897
4370,1400853
4370,1400854
4370,1400855
4370,1400856
4370,1400857
4370,8160
4370,1400905
4370,1389534
4370,2216
4370,7764
4370,8163
4370,2216
4370,15893
4370,1388866
4370,1400906
4370,1338976
4370,1378236
4370,1401105
4370,1401106
4370,3993
4370,1108501
4370,1401107
4370,1401108
4370,1390534
4370,142157
4370,1395463
4370,1401109
4370,1398972
4370,1401109
4370,1357070
4370,109994
4370,1401117
4370,1401118
4370,9635
4371,9771
4371,9772
4371,22145
4371,15524
4371,6482
4371,6482
4371,6482
4372,57082
4372,7530
4372,54047
4372,54048
4372,58084
4372,69927
4372,17233
4372,57126
4373,52849
4373,52849
4373,52849
4373,7779
4373,39973
4373,65913
4373,2632
4373,24177
4373,31094
4373,59164
4373,57778
4373,65914
4373,38168
4373,32605
4373,65915
4373,65916
4373,27996
4373,65917
4373,65918
4375,5066
4375,5067
4377,1323375
4377,67583
4377,67583
4378,3056
4378,14351
4378,66728
4378,57317
4378,57318
4378,70614
4378,30461
4378,66732
4379,20309
4379,91646
4379,20309
4380,1071
4380,1071
4380,1073
4380,4799
4380,36175
4380,3709
4380,57246
